Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2023-07-03,MMM,79.28028869628906,84.56521606445312,84.81605529785156,83.54515075683594,83.77926635742188,1913002.0
2023-07-05,MMM,77.31278991699219,82.466552734375,84.75752258300781,82.41638946533203,84.27257537841797,4716306.0
2023-07-06,MMM,75.49420928955078,80.5267562866211,82.0066909790039,79.90802764892578,81.9397964477539,6137035.0
2023-07-07,MMM,76.26239776611328,81.34615325927734,82.7675552368164,80.40969848632812,80.42642211914062,4770126.0
2023-07-10,MMM,76.18401336669922,81.26254272460938,82.36621856689453,81.00334167480469,81.20401000976562,4506408.0
2023-07-11,MMM,79.89170837402344,85.21739196777344,85.30936431884766,82.25752258300781,82.55852508544922,7477392.0
2023-07-12,MMM,79.61734771728516,84.92475128173828,87.1822738647461,84.88294219970703,86.52173614501953,4345307.0
2023-07-13,MMM,80.62853240966797,86.00334167480469,86.05351257324219,84.86621856689453,85.033447265625,2980552.0
2023-07-14,MMM,80.18958282470703,85.53511810302734,85.99497985839844,84.90802764892578,85.91136932373047,2650097.0
2023-07-17,MMM,79.7192611694336,85.033447265625,85.38461303710938,84.28093719482422,85.20066833496094,2753312.0
2023-07-18,MMM,80.7461166381836,86.1287612915039,86.57190704345703,84.74080657958984,84.966552734375,2978877.0
2023-07-19,MMM,81.11454010009766,86.52173614501953,86.75585174560547,85.78594970703125,85.99497985839844,2498324.0
2023-07-20,MMM,81.74946594238281,87.1989974975586,87.56688690185547,85.71070098876953,86.26254272460938,3428095.0
2023-07-21,MMM,81.78082275390625,87.2324447631836,87.40802764892578,86.30435180664062,87.09866333007812,2992392.0
2023-07-24,MMM,81.7337875366211,87.1822738647461,88.2943115234375,86.9397964477539,87.39966583251953,3986746.0
2023-07-25,MMM,86.09209442138672,91.8311004638672,92.68394470214844,89.4732437133789,89.92475128173828,10499564.0
2023-07-26,MMM,88.29476165771484,94.18060302734376,94.54013061523438,91.83946228027344,91.83946228027344,6691620.0
2023-07-27,MMM,87.15814971923828,92.96822357177734,94.59866333007812,92.34949493408205,92.34949493408205,6713746.0
2023-07-28,MMM,87.69902038574219,93.54515075683594,93.98829650878906,92.8511734008789,93.53678894042967,3479762.0
2023-07-03,ADBE,485.2099914550781,485.2099914550781,486.6099853515625,479.8399963378906,486.3900146484375,1491000.0
2023-07-05,ADBE,487.260009765625,487.260009765625,489.4100036621094,479.7300109863281,480.989990234375,2190000.0
2023-07-06,ADBE,481.2900085449219,481.2900085449219,482.5,475.0,479.989990234375,2100900.0
2023-07-07,ADBE,485.2699890136719,485.2699890136719,490.4200134277344,479.8599853515625,481.9800109863281,2324500.0
2023-07-10,ADBE,496.3500061035156,496.3500061035156,499.2000122070313,485.1099853515625,485.2699890136719,3352600.0
2023-07-11,ADBE,504.739990234375,504.739990234375,506.0299987792969,491.760009765625,497.2799987792969,2844200.0
2023-07-12,ADBE,507.3599853515625,507.3599853515625,510.7900085449219,500.010009765625,509.4100036621094,3027400.0
2023-07-13,ADBE,517.280029296875,517.280029296875,519.4099731445312,509.5,509.6199951171875,3049400.0
2023-07-14,ADBE,514.8300170898438,514.8300170898438,523.7899780273438,512.6699829101562,517.3400268554688,2300400.0
2023-07-17,ADBE,522.0,522.0,522.6900024414062,512.3800048828125,513.0,2645600.0
2023-07-18,ADBE,532.22998046875,532.22998046875,535.1300048828125,517.3800048828125,519.6400146484375,4094600.0
2023-07-19,ADBE,527.1699829101562,527.1699829101562,539.0,526.0599975585938,534.47998046875,3383200.0
2023-07-20,ADBE,516.8800048828125,516.8800048828125,528.3099975585938,514.0900268554688,522.030029296875,3264500.0
2023-07-21,ADBE,520.22998046875,520.22998046875,529.6900024414062,519.280029296875,521.75,8098000.0
2023-07-24,ADBE,523.8599853515625,523.8599853515625,524.8400268554688,514.8599853515625,520.0,2260500.0
2023-07-25,ADBE,525.3400268554688,525.3400268554688,526.8800048828125,517.9199829101562,519.4199829101562,2472100.0
2023-07-26,ADBE,514.5499877929688,514.5499877929688,521.0999755859375,510.44000244140625,520.489990234375,2918700.0
2023-07-27,ADBE,513.969970703125,513.969970703125,527.9000244140625,511.239990234375,523.1599731445312,2477200.0
2023-07-28,ADBE,528.8699951171875,528.8699951171875,530.3200073242188,514.6300048828125,515.4299926757812,2810000.0
2023-07-03,AKAM,91.31999969482422,91.31999969482422,91.38999938964844,89.44000244140625,89.61000061035156,813200.0
2023-07-05,AKAM,90.22000122070312,90.22000122070312,90.83999633789062,90.05999755859375,90.5999984741211,1217300.0
2023-07-06,AKAM,89.5,89.5,89.69999694824219,88.9000015258789,89.3499984741211,1208200.0
2023-07-07,AKAM,89.7699966430664,89.7699966430664,90.48999786376952,89.08000183105469,89.20999908447266,817300.0
2023-07-10,AKAM,90.83000183105467,90.83000183105467,90.93000030517578,89.4000015258789,89.51000213623047,1112600.0
2023-07-11,AKAM,90.94000244140624,90.94000244140624,91.37999725341795,90.56999969482422,91.0,1401700.0
2023-07-12,AKAM,91.02999877929688,91.02999877929688,91.93000030517578,90.38999938964844,91.93000030517578,1332600.0
2023-07-13,AKAM,93.02999877929688,93.02999877929688,93.68000030517578,91.33999633789062,91.52999877929688,1102000.0
2023-07-14,AKAM,92.31999969482422,92.31999969482422,93.05999755859376,91.98999786376952,92.80999755859376,1079700.0
